league,actual,top1,top1_prob,top2_prob,top3_prob,top1_hit,top3_hit,top3_prob_sum,xg_home,xg_away,xg_total,xg_diff,xg_total_bucket,xg_diff_bucket
N1,"(0, 1)","(0, 0)",0.4160902350550899,0.36573256096584106,0.16073473357638746,False,False,0.9425575295973184,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 1)","(0, 0)",0.4094686499321134,0.26090585619267537,0.13606158694930662,False,True,0.8064360930740954,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(1, 0)","(0, 0)",0.3374219317243069,0.3347164425781194,0.1754242373369706,False,True,0.8475626116393968,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(0, 1)","(1, 0)",0.2992831531930602,0.24488329043784218,0.2032847662698704,False,False,0.7474512099007729,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(2, 0)","(0, 0)",0.4348844786332246,0.22401303761861513,0.1724611862788257,False,False,0.8313587025306655,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 2)","(0, 0)",0.2655544752153157,0.22720940414924498,0.20715252683984528,False,False,0.699916406204406,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 1)","(0, 0)",0.4070075595019224,0.22938218351699624,0.17423935119294703,False,False,0.8106290942118657,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(0, 1)","(1, 0)",0.32243392016102496,0.26785010272293774,0.20318144769066807,False,False,0.7934654705746308,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(0, 4)","(0, 0)",0.2624643652839276,0.21857704676850967,0.21450164199245383,False,False,0.695543054044891,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 1)","(0, 0)",0.4116301596086082,0.2276784332972933,0.17509038611579292,False,False,0.8143989790216943,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 1)","(0, 0)",0.3390266465914811,0.28737563967883695,0.1332107808065547,False,False,0.7596130670768727,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 1)","(0, 0)",0.31882721205347697,0.23392733351347042,0.18061645445365437,False,False,0.7333710000206017,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(1, 2)","(1, 1)",0.25209552956771364,0.21870298242807876,0.17759790360549768,False,False,0.64839641560129,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 0)","(0, 0)",0.2458123026116341,0.23646425949045943,0.21431433389090415,True,True,0.6965908959929976,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 0)","(0, 0)",0.701612871141361,0.24865736661826032,0.04406310696163833,True,True,0.9943333447212596,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(1, 0)","(0, 0)",0.6982246916562301,0.25083815220793315,0.045056970453050564,False,False,0.9941198143172139,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(2, 0)","(0, 0)",0.32288104650554056,0.22578379570315643,0.19107105082392395,False,False,0.739735893032621,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(1, 2)","(1, 1)",0.2590270480174697,0.21546754927917164,0.20361138738286738,False,False,0.6781059846795088,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(0, 0)","(0, 0)",0.3385623089338517,0.28657959701158736,0.1327617135282822,True,True,0.7579036194737212,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.7073571984814094,0.24492287283448097,0.042402349029796366,True,True,0.9946824203456868,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.6581530419420466,0.27536683390657385,0.05760582143021345,True,True,0.9911256972788339,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 2)","(1, 1)",0.28809514839079053,0.18615157429912857,0.18539181727553625,False,False,0.6596385399654553,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 1)","(1, 0)",0.3530890067350598,0.27397596205169633,0.23346244414774317,False,False,0.8605274129344993,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(1, 0)","(0, 0)",0.3261367414646773,0.2296064709337661,0.18610240752944102,False,True,0.7418456199278844,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.3423198478141802,0.2719496062361154,0.13444398704370952,True,True,0.7487134410940051,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(0, 1)","(0, 0)",0.24895517549734655,0.2269088246400416,0.21481761196387258,False,True,0.6906816121012608,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 0)","(0, 0)",0.365278026892583,0.344588286772472,0.16926062214240709,True,True,0.879126935807462,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(0, 0)","(0, 0)",0.42344031293430545,0.22304701263883683,0.17736165216210867,True,True,0.8238489777352509,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(2, 0)","(0, 0)",0.4850382477708439,0.2741837053023932,0.09641844716852253,False,False,0.8556404002417597,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(1, 0)","(0, 0)",0.2931162966564867,0.2580196824338914,0.16882302974597735,False,True,0.7199590088363554,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 2)","(0, 0)",0.44767570241679516,0.2886507837880588,0.09766419229602771,False,False,0.8339906785008817,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(2, 1)","(0, 0)",0.3859870654991622,0.22497651368343738,0.1848213666047445,False,False,0.795784945787344,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(1, 0)","(0, 0)",0.37085009158165816,0.2964905720947281,0.1271510161269103,False,True,0.7944916798032966,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(1, 0)","(0, 0)",0.29077121852642707,0.27613592542004367,0.15613242468809718,False,True,0.723039568634568,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(0, 0)","(0, 0)",0.37491892154087475,0.2875319038437292,0.11879343855092972,True,True,0.7812442639355337,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 0)","(0, 0)",0.44172088061374004,0.2567348058518639,0.1314467910014214,True,True,0.8299024774670254,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(2, 0)","(0, 0)",0.6986644625877114,0.2505560185060812,0.04492737341835133,False,False,0.9941478545121439,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(0, 1)","(1, 0)",0.342942371191639,0.3227670411499834,0.19119947069039792,False,False,0.8569088830320203,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(1, 0)","(0, 0)",0.2641209138879491,0.2292833351676114,0.20685828099798248,False,False,0.700262530053543,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(0, 4)","(0, 0)",0.3112549722173759,0.3014141831830805,0.15975635886650083,False,False,0.7724255142669573,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 1)","(0, 0)",0.8056503831817208,0.17410804133102573,0.018813129546596818,False,False,0.9985715540593434,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 0)","(0, 0)",0.35436023940300543,0.3012227844100467,0.1377659880563014,True,True,0.7933490118693536,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 1)","(0, 0)",0.5103496650038133,0.2181546823914902,0.1483961807907856,False,True,0.8769005281860891,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(1, 0)","(1, 0)",0.2767593226864019,0.2501113429193121,0.17709902367369348,True,True,0.7039696892794075,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(1, 1)","(1, 0)",0.3692766362259057,0.3639257497202514,0.18735309904169106,False,False,0.9205554849878481,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 1)","(0, 0)",0.6273082571181082,0.2926030704840477,0.06824121624830842,False,False,0.9881525438504644,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 0)","(0, 0)",0.3906874351710409,0.2231514711776836,0.1860987950203492,False,True,0.7999377013690737,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 2)","(0, 0)",0.32404156441033033,0.23295369899272614,0.1818593578764751,False,False,0.7388546212795316,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(0, 0)","(0, 0)",0.4374443655708734,0.3624004659238044,0.1501152009700674,True,True,0.9499600324647451,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(0, 1)","(1, 0)",0.2770231326455249,0.21561729812028224,0.20833690192897086,False,False,0.700977332694778,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(0, 1)","(0, 0)",0.7655287444827346,0.20454744729027896,0.027327294039912492,False,False,0.997403485812926,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
