League,Matches,Accuracy,Log Loss,Brier,MAE,ML %,Avg Confidence
SP1,201,0.527363184079602,0.9795467847074162,0.19357536926405114,0.8690883815288544,100.0,75.0
F1,154,0.525974025974026,0.982989667547205,0.19524154638392285,0.9999853670597076,100.0,75.0
SC0,86,0.5232558139534884,1.0539197858213356,0.21134972040514335,0.8865120708942413,100.0,75.0
E0,191,0.5078534031413613,1.0123683170820341,0.20237627596625637,0.9104856252670288,100.0,75.0
N1,123,0.5040650406504065,1.026164130338901,0.2047604243929012,0.9332143664360046,100.0,75.0
D1,146,0.4931506849315068,1.0279156832966427,0.20474844309081264,1.084069311618805,100.0,75.0
I1,177,0.4632768361581921,1.0634054333187861,0.21313792983431204,0.852619469165802,100.0,75.0
